,alamat_jalan,batas_barat,batas_selatan,batas_timur,batas_utara,bujur,cagar_budaya_id,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,lintang,nama,nomor_penetapan,pemilik,pengelola,propinsi,tanggal_penetapan
818,-,"Tanah Kosong, Kebun, dan Laut",Gereja Hilla dan Rumah Penduduk,Jalan dan Sekolah TK,Laut,128.0831520,38CAB934-8E32-415E-8601-E6768575BB3F,Hilla Kaitetu,Kab. Maluku Tengah,Kec. Leihitu,KB000612,-3.5826710,Benteng Amsterdam,013/M/1999,Negara,-,Prop. Maluku,1999-01-12 00:00:00.000
819,-,Permukiman Penduduk,Benteng Nassau,Permukiman Penduduk,Ruang Terbuka,129.8989480,C8C2ACA5-ECC9-4713-A0C3-EE94D2D13321,Naera,Kab. Maluku Tengah,Kec. Banda,KB000508,-4.5260920,Benteng Belgica,PM.31/PW.007/MKP/2008,Pemerintah Provinsi Maluku,-,Prop. Maluku,2008-05-23 00:00:00.000
820,-,Permukiman,Permukiman,Permukiman,Permukiman Penduduk,128.9000000,84FF4E4E-0B71-41BA-B7E4-286C767DD89A,Desa Sila,Kab. Maluku Tengah,Kec. Saparua,KB000509,-3.6666670,Benteng Beverwiyk,PM.31/PW.007/MKP/2008,Pemerintah Provinsi Maluku,-,Prop. Maluku,2008-05-23 00:00:00.000
821,-,,,,,129.9298450,798D1DE1-1878-4A40-8CCF-322902DBC88D,Wayer,Kab. Maluku Tengah,Kec. Banda,KB000553,-4.5528540,Benteng Concordia,-,,,Prop. Maluku,
822,-,,,,,127.7899250,1FBE9AED-8919-48B9-8FF0-ED25B9365988,Pati,Kab. Maluku Barat Daya,Kec. Moa Lakor,KB000598,-8.1527970,Benteng Deen Haan,-,,,Prop. Maluku,
823,-,,,,,127.1995260,8C44B088-D049-48A9-A5EF-C84B4F1F3D58,Wonreli,Kab. Maluku Barat Daya,Kec. Pulau-pulau Terselatan,KB000594,-8.0502710,Benteng Delfts Haven,-,,,Prop. Maluku,
824,-,,,,,126.9725570,E0D8A993-01F1-4265-B053-391CA2CAB795,Kayeli,Kab. Buru,Kec. Waeapo,KB000580,-3.3739040,Benteng Detensie,-,,,Prop. Maluku,
825,-,Laut,Laut,Rumah Penduduk,Jl. Bostion,128.6221860,A397AB6B-0651-471A-9099-34AD6C943F56,Saparua,Kab. Maluku Tengah,Kec. Saparua,KB000610,-3.5809870,Benteng Duur Stade,013/M/1999,Negara,-,Prop. Maluku,1999-01-12 00:00:00.000
826,-,,,,,128.6320030,249EDF14-EF95-4FCD-901F-869687AD97A0,-,Kab. Maluku Tengah,Kec. Saparua,KB000534,-3.5502800,Benteng Duurstede,-,,,Prop. Maluku,
827,-,,,,,131.4119890,25DD0A5F-8E69-4677-B1EA-CF22CA850876,Kataloka,Kab. Seram Bagian Timur,Kec. Seram Timur,KB000576,-4.0388220,Benteng Gasewowo,-,,,Prop. Maluku,
828,-,Permukiman dan Jalan Desa,Jalan dan Rumah Penduduk,Permukiman Penduduk,Laut Seram,127.9685560,798EB874-6D33-487F-B8EE-CD7E2DCCAF47,Negerilima,Kab. Maluku Tengah,Kec. Leihitu,KB000516,3.6414720,Benteng Haarlem/Van Der Capellen,PM.11/PW.007/MKP/2010,Departemen Kebudayaan dan Pariwisata,-,Prop. Maluku,2010-01-08 00:00:00.000
829,-,,,,,129.9298810,82007F49-FEB6-4C15-AC95-C1EE127BF407,Lonthor,Kab. Maluku Tengah,Kec. Banda,KB000550,-4.5522120,Benteng Holandia,-,,,Prop. Maluku,
830,-,,,,,127.3880560,EC970AF4-31E3-4303-BFB7-658F3B1BDB44,Ouw,Kab. Maluku Tengah,Kec. Saparua,KB000535,-3.5989200,Benteng Holandia,-,,,Prop. Maluku,
831,-,,,,,128.4950350,7A4FEF8A-5602-4F76-B9F8-B68767E73EB3,Pelauw,Kab. Maluku Tengah,Kec. Pulau Haruku,KB000548,-3.5461460,Benteng Hoorn,-,,,Prop. Maluku,
832,-,Permukiman,"Lapangan, Jalan, dan Permukiman",Permukiman,Selat Ambon,128.4740280,E12B24F5-AB1F-47A3-A86E-6E0E678786B9,Pelaw,Kab. Maluku Tengah,Kec. Pulau Haruku,KB000514,3.5173330,Benteng Hoorn/Pelauw,PM.11/PW.007/MKP/2010,Departemen Kebudayaan dan Pariwisata,-,Prop. Maluku,2010-01-08 00:00:00.000
833,-,Hutan,Hutan dan Perbukitan,Hutan,Laut Seram,128.2191940,4475716C-F73B-45F4-A91B-6D222B651162,Morela,Kab. Maluku Tengah,Kec. Leihitu,KB000515,3.5252780,Benteng Kapahaha,PM.11/PW.007/MKP/2010,Masyarakat Desa Morela,Masyarakat Desa Morela,Prop. Maluku,2010-01-08 00:00:00.000
