,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
181,"Jl. Medika, Sekip",-,110.3757840,-,Kab. Sleman,Depok,MS000270,0,-7.7705390,0,C2985DDD-EE9F-469E-AA78-3A4C6B89B57F,Museum Paleoantropologi,Fakultas Kedokteran UGM,Prop. D.I. Yogyakarta,0,B,-,-,0,-
182,Jl. Sriwedari No. 1. Gedung Taman Budaya lt 2,lama,110.3686040,-,Kota Yogyakarta,Danurejan,MS000281,17000,-7.7963420,0,40716647-DECB-4C09-A1EC-29DEC3E6078C,Museum Pendidikan Anak Kolong Tangga,Yayasan Anak Dunia Damai,Prop. D.I. Yogyakarta,0,B,-,-,2008,Khusus
183,"Kampus Pusat UNY Jl. Colombo No. 1, Karang Malang",-,110.3862770,-,Kab. Sleman,Depok,MS000274,0,-7.7749110,0,FD5BD88E-23F2-442D-9EC6-DA8145F76DB8,Museum Pendidikan Indonesia UNY,-,Prop. D.I. Yogyakarta,0,B,-,-,0,-
184,Jl.  Kolonel  Sugiyono  No. 24 ,-,110.3716370,-,Kota Yogyakarta,Mergangsan,MS000240,0,-7.8166400,0,585C4D9E-57BB-41AF-8CA6-CF24E84CEBCE,Museum Perjuangan Yogyakarta,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. D.I. Yogyakarta,0,B,-,-,0,Khusus
185,Jl. Bulaksumur No. 1 UGM Yogyakarta,-,110.3773260,-,Kab. Sleman,Depok,MS000271,0,-7.7730540,0,2BCB1F70-D3A9-4139-AA8E-2F4EB23E4198,Museum PETA,Fakultas Geografi,Prop. D.I. Yogyakarta,0,C,-,-,0,-
186,"Kompleks Pura Pakualaman, Jln Sultan Agung",-,110.3761310,-,Kota Yogyakarta,Pakualaman,MS000243,0,-7.8007270,0,4572BBA4-0230-4D81-89DC-6B3BA2976DC5,Museum Puro Pakualaman,SWASTA,Prop. D.I. Yogyakarta,0,-,-,-,0,Khusus
187,Jl. Jenderal Sudirman No.75,-,110.3752980,-,Kota Yogyakarta,Gondokusuman,MS000246,4236,-7.7830060,0,57FB2184-4A6E-488A-9DC8-2C055CCED1F0,Museum Pusat TNI-AD Dharma Wiratama,Dinas Sejarah Angkatan Darat,Prop. D.I. Yogyakarta,0,A,-,-,0,Khusus
188,Gedung Museum Sandi Jl. Faridan Muridan Noto No. 21,Baru,110.3708370,-,Kota Yogyakarta,Gondokusuman,MS000263,0,-7.7850070,0,7437196D-8435-4481-B04A-EAAF3BAEF649,Museum Sandi,Lembaga Sandi Negara ,Prop. D.I. Yogyakarta,0,B,-,-,2008,Khusus
189,Jl. Bintaran Wetan No. 3,Lama,110.3753560,-,Kota Yogyakarta,Mergangsan,MS000261,599,-7.8026770,0,34C8F7FB-DCE0-4FA6-BE24-5BEB3ED9CD5B,Museum Sasmita Loka Panglima Besar Sudirman,ABRI,Prop. D.I. Yogyakarta,0,B,-,-,1982,Khusus
190,"Jl.Raya Pleret, Kedaton, Pleret",Baru,110.4052580,-,Kab. Bantul,Pleret,MS000279,0,-7.8682850,0,71A7A010-507D-43EA-A442-6DF660A72D9F,Museum Sejarah Purbakala Pleret,Dinas Kebudayaan Provinsi Yogyakarta,Prop. D.I. Yogyakarta,0,C,-,-,2004,Khusus
191,-,-,110.4526770,-,Kab. Sleman,Cangkringan,MS000276,0,-7.6034220,0,6D72D081-5FA2-47B8-9D6B-6C82CD2786FC,Museum Sisa Hartaku (Sleman),-,Prop. D.I. Yogyakarta,0,-,-,-,0,-
192,Kristya Bintara Dsn Candran Kebon Agung,-,110.3714170,-,Kab. Bantul,Bantul,MS000273,0,-7.9244920,0,62EA2E67-1705-4848-ACDB-1FE02696F3E9,Museum Tani Jawa Indonesia,-,Prop. D.I. Yogyakarta,0,B,-,-,0,-
193,"Jl. Parangtritis  Km. 8,4  Tembi",-,110.3561730,-,Kab. Bantul,Sewon,MS000257,0,-7.8701360,0,693AD108-E9FA-4075-8042-3E517A8EF77F,Museum Tembi Rumah Budaya    ,SWASTA,Prop. D.I. Yogyakarta,0,B,-,-,0,Khusus
194,Yogyakarta,-,110.3448890,-,Kab. Bantul,Kasihan,MS000280,0,-7.7990460,0,B9E07D4B-87A3-4448-8C74-4DA3C06D10BD,Museum Tino Sidin,-,Prop. D.I. Yogyakarta,0,-,-,-,0,-
195,"Jl. Pangkalan Adi Sucipto, Komp. Lanud Adisucipto",-,110.4156790,-,Kab. Sleman,Depok,MS000245,10000,-7.7899340,0,7AABF9CB-181D-4A38-945B-55EEF099527F,Museum TNI-AU Dirgantara Mandala,ABRI,Prop. D.I. Yogyakarta,0,-,-,-,0,Khusus
196,Kawasan Wisata Kaliurang,-,110.4237850,-,Kab. Sleman,Sleman,MS000256,0,-7.5983790,0,3087754E-7D32-4CBB-904B-9D3E98C3CC4D,Museum Ullen Sentalu,SWASTA ,Prop. D.I. Yogyakarta,0,A,-,-,1997,-
197,Kampus UGM Bulak Sumur Blok D-6 dan D-7,-,110.3778650,-,Kab. Sleman,Depok,MS000267,0,-7.7742410,0,A8497B58-43D9-492C-A665-9184399444E6,Museum Universitas Gadjah Mada,UGM,Prop. D.I. Yogyakarta,0,C,-,-,0,-
198,Jl. Jogya - Wonosari  Km. 7  No. 277,-,110.3765980,-,Kab. Bantul,Banguntapan,MS000252,5464,-7.7853510,0,1874EDF4-3B8A-416F-92E7-B0405B8BBAD0,Museum Wayang Kekayon,SWASTA,Prop. D.I. Yogyakarta,0,C,-,-,1991,Khusus
199,RE  Martadinata  No. 69,-,110.8338740,-,Kota Yogyakarta,Wirobrajan,MS000262,0,-7.4557270,0,9CF41F13-04A0-4D2A-A5FC-C460D51748DE,prehistory Museum (Museum Sangiran) ,Swasta,Prop. D.I. Yogyakarta,0,C,-,-,0,Khusus
200,Jl. Pemuda No. 39,-,112.7502930,-,Kota Surabaya,Genteng,MS000292,0,-7.2654780,0,7D0E6D87-2D6F-43EC-965C-EF2647F51903,Monumen Kapal Selam,-,Prop. Jawa Timur,0,B,-,-,0,-
201,Jl. Pahlawan Surabaya,-,112.7379590,-,Kota Surabaya,Krembangan,MS000294,0,-7.2455140,0,EEBCF7A5-DE93-4189-A40E-0CFBFD0F72CD,Museum  Sepuluh  Nopember (UPTD Tugu Pahlawan Surabaya),PEMKOT,Prop. Jawa Timur,0,B,-,-,2000,Khusus
202,"Jl. Soekarno-Hatta, No 210, Kompleks perumahan Gryashanta, Kel. Mojolangu",Lama,112.6208230,-,Kota Malang,Lowokwaru,MS000300,0,-7.9402990,0,90201B0E-6A34-48F5-A5AD-1806281A5FBD,Museum “Mpu Purwa“,DISPARINKOM Pemkot Malang,Prop. Jawa Timur,0,C,-,-,2004,Khusus
203,Jl. Dr. Wahidin No. 26,-,109.7235450,-,Kab. Lamongan,Paciran,MS000228,0,-6.9160810,0,26D56686-70F4-437C-B332-F01A156949A9,Museum Abirowo,-,Prop. Jawa Timur,0,-,-,-,0,-
204,"Jl. Mastrip  No. 1, Dukuh Goro, Desa Pojok, Mojoroto",-,111.9738690,-,Kota Kediri,Mojoroto,MS000284,0,-7.8075430,0,242898D3-B64E-49F0-AA1B-87E032D6E598,Museum Airlangga,PEMKAB,Prop. Jawa Timur,0,-,-,-,1992,Umum
205,Kota Batu,-,112.5249710,-,Kota Batu,Batu,MS000321,0,-7.8834600,0,B9389363-EDAB-4BF8-8253-B7E77C4CF833,Museum Anatomi Tubuh (Kawasan Jawa Timur),-,Prop. Jawa Timur,0,-,-,-,0,-
206,Jl. Terusan Sultan Agung Atas No. 2 Kota Wisata Batu,baru,112.5190170,-,Kota Batu,Batu,MS000308,0,-7.8785950,0,76C1F934-1706-46FB-BBDB-607FD6DD06B5,Museum Angkut,Swasta,Prop. Jawa Timur,0,A,-,-,2014,Khusus
207,Jl. Gatot Subroto,-,111.8938940,-,Kab. Nganjuk,Nganjuk,MS000298,0,-7.5932110,0,FFDBDAE5-DF7B-44F3-A283-77153ACDBEC3,Museum Anjuk Ladang,PEMKAB,Prop. Jawa Timur,0,-,-,-,0,Khusus
208,Jl. Pramuka No. 1,-,111.8938320,-,Kab. Nganjuk,Nganjuk,MS000291,0,-7.5930120,0,CCDA2CF7-64F6-4BBF-A5F1-F1C20429CED9,Museum Arca,PEMDA,Prop. Jawa Timur,0,-,-,-,0,Khusus
209,Markas komando (Mako) Kopaska Koarmatim,-,112.5247500,-,Kab. Sidoarjo,Candi,MS000312,0,-7.8722620,0,52809F4D-19E6-45A9-B716-5D691392F3D1,Museum Armada (Fleet House),"TNI AL, Rabu (29/10/2014)",Prop. Jawa Timur,0,-,-,-,0,-
210,Jl. Ki Mangunsarkoro,-,111.8957190,-,Kab. Tulungagung,Boyolangu,MS000285,0,-8.1020380,0,B38CC345-1649-460C-88EF-6CA6D096697D,Museum Balai Penyelamat Tulung Agung,PEMKAB,Prop. Jawa Timur,0,-,-,-,0,Umum
211,Jl.  Wiryo S Pranoto Kel. Sukoharjo,-,112.6320510,-,Kota Malang,Klojen,MS000310,0,-7.9867860,0,C116B25B-E0C8-418A-AA85-379830301380,Museum Bentoel,Swasta,Prop. Jawa Timur,0,C,-,-,0,Khusus
