,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
392,"Jl Diponegoro, Kota Kalabahi",-,124.5180800,-,Kab. Alor,Alor Barat Daya,MS000373,0,-8.2141170,0,62E33814-82F6-4648-9B5D-C347A1D82BFC,Museum 1000 Moko,Dinas BUDPAR Kabupaten Alor,Prop. Nusa Tenggara Timur,0,-,-,-,0,Khusus
393,Jl. Moh. Hatta,-,121.6340110,-,Kab. Ende,Ende Selatan,MS000369,0,-8.8688610,0,0E3E661D-3668-4CD7-8816-68E4868BBD6B,Museum Bahari Ende,SWASTA,Prop. Nusa Tenggara Timur,0,-,-,-,1996,Khusus
394,Kompleks Seminari Tinggi St. Paulus Ledalero,-,122.2200160,-,Kab. Sikka,Nita,MS000365,0,-8.6213430,0,2F1922B4-B808-4CF1-BC5F-910B2B84C23A,Museum Bikon Blewut ,SWASTA,Prop. Nusa Tenggara Timur,0,-,-,-,0,Khusus
395,Jl. Raya Eltari II Kota Baru,-,123.6457730,-,Kota Kupang,Kota Lama,MS000364,6199,-10.1567460,0,267405E2-C186-4812-A4B8-82111C376AB4,Museum Daerah Nusa Tenggara Timur,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Nusa Tenggara Timur,0,B,-,-,0,Umum
396,"Ende, Nusa Tenggara Timur",-,121.6445900,-,Kab. Ende,Ende,MS000372,0,-8.8406850,0,85044138-CEF5-429D-ADF8-6C798D8EB26C,Museum Rumah Pengasingan Soekarno di Ende,"Yayasan Ende Flores, 1 Juni 2013",Prop. Nusa Tenggara Timur,0,B,-,-,0,Khusus
397,Jl. MKGR. Mignel Rangel No. 1-2,-,122.9567130,-,Kab. Flores Timur,Wulang Gitang,MS000367,0,-8.3467790,0,3CCB7FCA-F367-47C5-B5C2-CEE7F7221F99,Museum San Dominggo,SWASTA,Prop. Nusa Tenggara Timur,0,-,-,-,0,Umum
398,Kabupaten Manggarai ,-,120.3628470,-,Kab. Manggarai Timur,Kota Komba,MS000366,0,-8.6707730,0,CE04F0CB-AAA8-4A98-B449-8F6D971064A6,Museum Seminari Pius  XII  Kisol,SWASTA,Prop. Nusa Tenggara Timur,0,-,-,-,0,Khusus
399,"Jl. Ir. Soekarno, Gedung Sao Ria",-,121.6561000,-,Kab. Ende,Ende Selatan,MS000370,0,-8.8513500,0,8027BF4D-E7E1-4DDD-A094-2D14745E272B,Museum Tenun Ikat Ende,SWASTA,Prop. Nusa Tenggara Timur,0,-,-,-,0,Khusus
400,Kabupaten Manggarai,-,120.3900580,-,Kab. Manggarai Timur,Elar,MS000371,0,-8.7044980,0,F1D744B4-3753-425C-83E1-6FCFD9D5BC7A,Museum Verheijen ,SWASTA,Prop. Nusa Tenggara Timur,0,-,-,-,0,Khusus
401,Jl. Rumah Budaya No. 212,-,119.8883850,-,Kab. Sumba Barat Daya,Loura,MS000374,0,-9.7076700,0,866D1981-0EB7-4C73-8CAD-ADDEA5700278,Rumah Budaya Sumba,-,Prop. Nusa Tenggara Timur,0,-,-,-,2011,Khusus
402,Jl. Keuskupan,-,138.1389140,-,Kab. Asmat,Agats,MS000377,0,-5.5386590,0,5701C028-B8B6-4E3D-B554-66D5BEE0986C,Museum Kebudayaan Asmat ,SWASTA,Prop. Papua,0,-,-,-,0,Khusus
403,"Jl. Raya Sentani Km. 17,8",-,134.0756110,-,Kota Jayapura,Abepura,MS000375,0,-.8657520,0,FA27B648-AFB5-4233-9320-DB7484280202,Museum Negeri Provinsi Papua,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Papua,0,B,-,-,1990,Umum
404,Ds. Wesaput,-,138.9428900,-,Kab. Jaya Wijaya,Wamena,MS000378,0,-4.0996340,0,B45023A3-4E56-4EA4-9C48-1D82307EEA26,Museum Pilamo Adat,PEMDA,Prop. Papua,0,-,-,-,0,Khusus
405,Jl. Raya Abepura-Sentani,-,115.3077090,-,Kota Jayapura,Abepura,MS000376,2000,-8.4517550,0,3B80E4C3-4044-45BC-A2F1-7106AEC98B60,soekarno Centre,PEMDA,Prop. Papua,0,B,-,-,1973,Khusus
406,"Jl. Pembangunan No.8, Padang Harapan",Baru,102.2875890,-,Kota Bengkulu,Gading Cempaka,MS000116,5837,-3.8156620,9974,5B6BC43E-7C48-474F-906B-CE544B26FC6F,Museum Negeri PROVINSI Bengkulu,PEMERINTAH DAERAH,Bengkulu,,A,,PEMERINTAH DAERAH,1980,Umum
407,Jl. Soekarno Hatta – Bengkulu. Pasar Anggust Atas,Lama,102.2612630,-,Kota Bengkulu,Gading Cempaka,MS000023,,-3.7989870,162,81E0B256-005F-4223-8334-36C39E5CDF48,Museum Rumah Bung Karno,PEMERINTAH DAERAH,Bengkulu,,-,,PEMERINTAH DAERAH,,Khusus
408,Jl. Perwira,-,121.6565040,-,Kota Bengkulu,Gading Cempaka,MS000368,0,-8.8511880,0,F5118BE4-5A64-4439-A577-D7BE89486227,Museum Situs Bung Karno ,PEMDA,Prop. Bengkulu,0,-,-,-,0,Khusus
409,Jl. Sultan Khairun,Baru,127.3840310,-,Kota Ternate,Ternate Utara,MS000382,0,.8004700,0,AF28819F-9B06-476D-A375-F5098B457790,Museum Memorial Kedaton Sultan Ternate,Pemda,Prop. Maluku Utara,0,-,-,-,1982,Khusus
410,Pulau Morotai,-,128.2827460,-,Kab. Kepulauan Morotai,Morotai Utara,MS000384,0,2.0139520,0,FBEE62A1-FC99-49A4-90B5-87CD938213B6,Museum Perang Dunia Kedua dan Trikora di Pulau Morotai Maluku Utara,-,Prop. Maluku Utara,0,-,-,-,0,-
411,Ternate,-,127.3758820,-,Kota Tidore Kepulauan,Kota Tidore Kepulauan,MS000385,0,.7818730,0,74D220DE-5876-41E4-9D01-9BA4830D8FEC,Museum Rempah,-,Prop. Maluku Utara,0,-,-,-,0,-
412,Jl. Raya Sio-Sio,Lama,127.4469370,-,Kota Tidore Kepulauan,Tidore,MS000383,0,.6630500,0,C2BE5DFF-C716-4C46-8C2A-2B477C10DED5,Museum Soninye Malige,SWASTA,Prop. Maluku Utara,0,-,-,-,1982,Khusus
413,"Jl Cilame No 20, kawasan Pasar Lama",Lama,106.6296960,-,Kota Tangerang,Tangerang,MS000092,,-6.1786880,,B4561470-0120-49C8-8B7B-9EB3B0EECDC8,Museum Benteng Heritage,PEMERINTAH DAERAH,Banten,,A,,,,
414,Jl Brigjen KH Syam`un Nomor 5,Lama,106.1507090,-,Kota Serang,Serang,MS000072,,-6.1160920,,995096BE-7123-42E3-A4F0-880332AD6124,Museum Negeri Provinsi Banten,,Banten,,,,,2015,Umum
415,"Menara Matahari lantai 3 Jl. Boulevard Palem Raya No. 7, Lippo Village",,106.6069120,-,Kota Tangerang,Karawaci,MS000001,880,-6.2398540,,16290120-95B9-41BD-A80E-0053B1C45472,Museum Pelita Harapan,SWASTA,Banten,,-,,,,Khusus
416,Tangerang,,106.1594440,-,Kota Tangerang,Tangerang,MS000112,,-6.1533230,,B42D3EBD-B7BC-4889-853E-C9FC53FDCFAF,Museum Sepeda,Swasta,Banten,,-,,,,
417,Jl. Mesjid Agung Banten/ Jl lt Djidun (Kom Perkantoran),Baru,106.1571670,-,Kota Serang,Kasemen,MS000066,,-6.0394900,10000,B65A6C71-3AB6-4790-9E7E-80CF8BC04940,Museum Situs Kepurbakalaan Banten Lama,PEMERINTAH PROVINSI,Banten,,B,,,,Umum
418,Jl. Laskar Pelangi 10 Gantong,,108.1641060,-,Kab. Belitung Timur,Gantung,MS000044,,-2.9670050,,CA7D5C29-922B-4DBD-A04F-56217B1333A7,Museum Kata Andrea Hirata,Swasta,Bangka Belitung,,B,,SWASTA ,2010,Khusus
419,Jl. Melati No. 41 A,Baru,107.6544040,-,Kab. Belitung,Tanjung Pandan,MS000038,,-2.7397280,,0E301FBD-5553-431A-B167-471671DABF3A,Museum Tanjung Pandan (UPTD Museum Pemkab. Belitung) ,PEMERINTAH DAERAH,Bangka Belitung,,C,,PEMERINTAH DAERAH,1962,Umum
420,Jl. Ahmad Yani No. 179,Lama,106.1096420,-,Kota Pangkalpinang,Gerunggang,MS000104,,-2.1183480,,3DEE70BD-0AA2-4625-BA4B-B88FEFD0670B,Museum Timah Indonesia,PT. TIMAH,Bangka Belitung,,-,,PT. TIMAH,1997,Khusus
421,-,-,123.0597530,-,Kab. Gorontalo,Batudaa,MS000386,0,.5456250,0,34072DE4-8CD7-4F31-A855-FB484B15ECDB,Museum Negeri Provinsi Gorontalo,-,Prop. Gorontalo,0,-,-,-,2015,Umum
422,"Komplek Istana Damnah, Jl. Raja Muhammad Yusuf, Daik",Baru,104.6007160,-,Kab. Lingga,Lingga,MS000036,5700,-.2161180,,B7FF93D3-F9B5-4011-B092-45D7B3A5C248,Museum Linggam Cahaya,PEMERINTAH KABUPATEN,Kepulauan Riau,,-,,PEMERINTAH DAERAH,2003,Khusus 
423,Jl. Imam H. Ismail Bang Tok Ilok No. 31,Baru,108.3671790,Ranai Darat,Kab. Natuna,Bunguran Timur,MS000047,,3.9490930,,C4CC0165-C9EA-492E-A5D5-58560A5AD52D,Museum Sri Serindit,PEMERINTAH KABUPATEN,Kepulauan Riau,,-,,PEMERINTAH DAERAH,2008,Umum
424,Jl. Ketapang no.2,Lama,104.4439700,-,Kota Tanjungpinang,Tanjung Pinang Barat,MS000111,600,.9292680,,1A9B9BD1-4862-48BC-A994-C894F346BF12,Museum Sultan Sulaiman Badrul Alamsyah,PEMERINTAH KOTA,Kepulauan Riau,,-,,PEMERINTAH DAERAH,2009,Umum
425,Pulau Mansinam,-,134.0925020,-,Kab. Manokwari,Manokwari Timur,MS000379,0,-.8909960,0,19D06F43-C864-4A94-8F1D-88A651E1E03C,Museum Perkabaran Injil di Mansinam,-,Prop. Papua Barat,0,-,-,-,0,-
426,Jl. Raden Suradi No. 17,Lama,118.9534910,-,Kab. Majene,Banggae,MS000413,1304,-3.5465640,0,7B7C98B8-83D3-4DE1-AA4C-8463A3387F44,Museum Daerah Mandar Kabupaten Majene,Pemda Kab. Majene,Prop. Sulawesi Barat,0,-,-,-,1989,Umum
427,-,-,119.3782910,-,Kab. Mamasa,Mamasa,MS000415,0,-2.9429350,0,0D5708E5-BC6B-4AE4-82E0-FE2BED5D4529,Museum Kabupaten Mamasa,-,Prop. Sulawesi Barat,0,-,-,-,0,-
428,Jl. KS. Tubun,-,118.8844140,-,Kab. Mamuju,Mamuju,MS000414,0,-2.6761670,0,52E59DF8-9513-4EDB-87AC-949EB07FF732,Museum Kabupaten Mamuju,-,Prop. Sulawesi Barat,0,-,-,-,0,Umum
